Permutation,MAE mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
neural_knn,04.66,02.88,05.73,03.12,-04.96,07.35
neural_mean,06.58,03.00,07.41,02.69,-07.83,05.56
neural_median,06.20,02.56,07.33,02.42,-07.48,04.96
neural_zero,10.26,05.04,10.79,04.82,-18.77,16.69
svm_knn,08.39,02.73,08.82,02.61,-11.62,08.50
svm_mean,08.39,02.73,08.82,02.61,-11.62,08.50
svm_median,08.39,02.73,08.82,02.61,-11.62,08.50
svm_zero,08.39,02.73,08.82,02.61,-11.62,08.50
xgboost_mean,04.61,04.11,05.12,03.96,-05.26,08.48
xgboost_median,05.12,04.89,05.60,04.74,-07.02,11.31
xgboost_zero,04.77,04.32,05.25,04.18,-05.73,09.23
